GEOID_T,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ
8059011708,12.3570363,3.4,22.6640159,5.7,3.5,18.7,16.55892591,10.5,2.783300199,0.206291903,21.1337643,0,0,0,1.7,0.248632521
4027012100,28.8,1.9,6.267029973,18.8,10.1,15.9,25.93783494,16.6,3.814713896,12.07464325,57.12754555,8.214849921,54.2,0,3.8,8.467309753
55127001503,18.05331179,2,27.27272727,9.6,3.6,10,27.82714055,9.5,11.29476584,5.493523895,28.75605816,10.90342679,2.5,3.948576676,7.6,0
28155950100,18.52879944,1.4,15.5011655,9.8,8,13.1,23.36706532,19.9,4.137529138,0.049007596,12.71849126,0.175361683,26,0.291375291,3.1,0.436982521
13067031110,13.98963731,3.1,19.04047976,8,14,11,23.25208467,5,8.695652174,7.689606742,47.30596536,3.893442623,0,1.79910045,2.4,0
29189216101,54.69596629,4.4,52.47326203,0.4,1,12.9,8.961424332,8.1,1.336898396,7.52688172,36.14243323,28.0733945,0,1.671122995,13.9,1.78041543
5023480502,17.87541378,7,17.39707835,8.7,6.5,30.7,17.11980878,19.6,5.577689243,0,4.571257843,1.236363636,25.7,0.996015936,2.3,0
8071000400,38.54214123,3,28.9881495,11.8,12.8,22.5,19.18238994,21.9,10.84776664,1.756007394,57.72686433,5.275779376,6.6,2.825888788,23.8,1.437556155
19129040100,12.90322581,4.4,12.20368745,9.4,2.9,22.6,17.97909408,15.3,3.072870939,0.537056928,6.236933798,0.151860289,5.3,0.965759438,3.1,1.777003484
42079211205,16.70036393,1.7,30.53745928,6.2,2.2,38.8,11.96261682,19.2,4.641693811,0,1.981308411,29.8682284,2.3,2.768729642,23.7,7.85046729
36065025601,11.94523135,2.5,13.51955307,8,1.5,14,21.23769339,11.3,2.569832402,0,6.938584154,0,10.2,0.446927374,1.8,0
34009020201,5.813193991,3.9,23.30097087,1.5,8.4,30.7,20.64010451,14.1,0,2.031144211,14.36969301,1.840101523,0,0,1.3,0
19085290300,12.72530642,0.5,10.40268456,5.7,2.2,19.3,23.43304843,13.4,4.530201342,0,1.46011396,0.305343511,4.9,0,3.4,1.709401709
